"trial","shape","colour","shape_value","colour_value","value","choice","rt","accuracy"
1,"triangle","yellow",2,-4,-2,"accept",3841,0
2,"triangle","yellow",2,-4,-2,"accept",1008,0
3,"squiggle","green",6,-3,3,"reject",2422,0
4,"triangle","orange",2,-6,-4,"accept",496,0
5,"squiggle","red",6,-1,5,"accept",3094,1
6,"triangle","orange",2,-6,-4,"accept",710,0
7,"square","yellow",1,-4,-3,"accept",1083,0
8,"diamond","blue",5,-2,3,"reject",1138,0
9,"square","purple",1,-5,-4,"reject",1193,1
10,"rhombus","orange",4,-6,-2,"accept",1336,0
11,"square","green",1,-3,-2,"reject",1203,1
12,"squiggle","yellow",6,-4,2,"reject",1688,0
13,"circle","purple",3,-5,-2,"reject",1804,1
14,"squiggle","purple",6,-5,1,"accept",419,1
15,"rhombus","green",4,-3,1,"accept",735,1
16,"rhombus","orange",4,-6,-2,"accept",1486,0
17,"square","yellow",1,-4,-3,"reject",1678,1
18,"squiggle","blue",6,-2,4,"accept",641,1
19,"circle","orange",3,-6,-3,"accept",2676,0
20,"circle","purple",3,-5,-2,"accept",914,0
21,"triangle","blue",2,-2,0,"reject",1496,1
22,"triangle","green",2,-3,-1,"reject",2096,1
23,"squiggle","purple",6,-5,1,"accept",1245,1
24,"square","blue",1,-2,-1,"accept",2145,0
25,"triangle","orange",2,-6,-4,"accept",808,0
26,"diamond","yellow",5,-4,1,"accept",786,1
27,"triangle","purple",2,-5,-3,"accept",790,0
28,"rhombus","blue",4,-2,2,"accept",2039,1
29,"diamond","blue",5,-2,3,"accept",1071,1
30,"squiggle","red",6,-1,5,"accept",2076,1
31,"rhombus","green",4,-3,1,"accept",947,1
32,"rhombus","red",4,-1,3,"accept",2833,1
33,"circle","blue",3,-2,1,"reject",2675,0
34,"triangle","orange",2,-6,-4,"reject",1431,1
35,"rhombus","red",4,-1,3,"accept",769,1
36,"circle","orange",3,-6,-3,"accept",3423,0
37,"squiggle","yellow",6,-4,2,"reject",724,0
38,"diamond","green",5,-3,2,"reject",2969,0
39,"squiggle","orange",6,-6,0,"accept",1004,1
40,"rhombus","blue",4,-2,2,"reject",921,0
41,"rhombus","orange",4,-6,-2,"accept",2429,0
42,"squiggle","red",6,-1,5,"accept",1619,1
43,"circle","green",3,-3,0,"accept",1823,1
44,"squiggle","yellow",6,-4,2,"accept",1300,1
45,"squiggle","green",6,-3,3,"reject",1295,0
46,"triangle","purple",2,-5,-3,"reject",853,1
47,"rhombus","blue",4,-2,2,"accept",2469,1
48,"square","yellow",1,-4,-3,"accept",3391,0
49,"circle","yellow",3,-4,-1,"accept",1445,0
50,"diamond","green",5,-3,2,"accept",1524,1
51,"square","orange",1,-6,-5,"accept",1420,0
52,"diamond","purple",5,-5,0,"reject",3262,1
53,"square","blue",1,-2,-1,"accept",1990,0
54,"squiggle","green",6,-3,3,"accept",2533,1
55,"circle","red",3,-1,2,"accept",2312,1
56,"rhombus","orange",4,-6,-2,"reject",1203,1
57,"triangle","orange",2,-6,-4,"accept",1133,0
58,"squiggle","green",6,-3,3,"accept",2660,1
59,"squiggle","blue",6,-2,4,"reject",2892,0
60,"square","red",1,-1,0,"accept",1737,1
61,"squiggle","blue",6,-2,4,"accept",2688,1
62,"squiggle","blue",6,-2,4,"accept",463,1
63,"squiggle","green",6,-3,3,"accept",1499,1
64,"diamond","orange",5,-6,-1,"reject",1400,1
65,"diamond","purple",5,-5,0,"reject",2011,1
66,"squiggle","blue",6,-2,4,"reject",923,0
67,"diamond","orange",5,-6,-1,"accept",1020,0
68,"triangle","green",2,-3,-1,"accept",1310,0
69,"rhombus","green",4,-3,1,"reject",1454,0
70,"diamond","purple",5,-5,0,"accept",543,1
71,"square","yellow",1,-4,-3,"accept",1289,0
72,"diamond","green",5,-3,2,"reject",1411,0
73,"squiggle","yellow",6,-4,2,"reject",1409,0
74,"squiggle","yellow",6,-4,2,"accept",2725,1
75,"square","red",1,-1,0,"reject",1177,1
76,"diamond","blue",5,-2,3,"accept",2535,1
77,"rhombus","yellow",4,-4,0,"accept",2963,1
78,"rhombus","blue",4,-2,2,"accept",1671,1
79,"squiggle","orange",6,-6,0,"reject",860,1
80,"squiggle","red",6,-1,5,"reject",2208,0
81,"circle","yellow",3,-4,-1,"accept",1587,0
82,"triangle","blue",2,-2,0,"accept",3931,1
83,"rhombus","orange",4,-6,-2,"reject",1930,1
