country,code,urban_pop,gdp_per_capita,pop_est,country.name.en,continent,region,un.regionsub.name,geom
Afghanistan,AFG,28.624544,1357.9878,40578801,Afghanistan,Asia,South Asia,Southern Asia,"list(c(74.8898634, 74.8038754, 74.3750999, 73.8426014, 73.7756025, 73.3058931, 73.0944613, 72.7951604, 72.6777778, 72.3443505, 71.8428435, 71.5673685, 71.4310417, 71.5068634, 71.4939204, 71.5924483, 71.5770869, 71.2573191, 71.3735373, 71.1642999, 70.7696957, 70.6104388, 70.4928771, 70.1778565, 70.2962244, 70.1445362, 69.5366639, 69.380318, 69.4020837, 69.2507539, 68.9733083, 68.822471, 68.5421592, 68.2943615, 68.0161546, 67.7865398, 67.6783831, 67.2620132, 67.0480733, 66.553732, 66.3089797, 66.0719754, 
65.70684, 65.5311916, 65.1326015, 64.7557323, 64.7981889, 64.6181515, 64.5799496, 64.2838285, 63.9892301, 63.5707105, 63.3058496, 63.2482108, 63.0949104, 63.1025239, 62.5775046, 62.265619, 62.0642638, 61.5877471, 61.2741149, 61.097123, 61.1409679, 60.9844877, 60.742333, 60.9183844, 60.6864856, 60.5175999, 60.5812847, 60.9026648, 60.5831657, 60.7095501, 60.8150197, 60.8830488, 60.8190952, 60.8560879, 61.7066524, 61.8385006, 61.7715464, 60.872972, 62.4691687, 63.576667, 64.0490634, 64.4613578, 64.5430912, 
65.0645277, 66.249863, 66.3734259, 66.2320832, 66.3239828, 66.356721, 66.2881545, 66.3919223, 66.5783639, 66.7164821, 66.9559049, 67.0700181, 67.4000418, 67.6511088, 67.8575247, 68.0703897, 68.1464801, 68.4280907, 68.5755243, 68.9077872, 69.1172933, 69.3199473, 69.2396471, 69.4537661, 69.3875733, 69.5732536, 70.0207045, 70.3284698, 70.1714074, 70.1533589, 69.9720676, 69.8586709, 69.9047103, 70.5468435, 70.8834506, 71.0814469, 71.1728091, 71.0241215, 71.0897322, 71.4750658, 71.6249625, 71.5460059, 
71.6563571, 71.5532163, 71.2506909, 71.538885, 71.6569393, 72.0882228, 72.2534809, 72.5904015, 73.0829066, 73.890477, 74.1208084, 74.4193479, 74.5646317, 74.5009021, 74.7494163, 74.8898634, 37.2340794, 37.3550155, 37.4240119, 37.2339056, 37.4394796, 37.4638108, 37.3242787, 37.2162531, 37.0219758, 36.9894017, 36.6803704, 36.7621034, 37.0576533, 37.3126842, 37.5416956, 37.7975706, 37.9345703, 37.9229012, 38.2559658, 38.3869323, 38.4555315, 38.3459169, 38.1212255, 37.9153039, 37.7696394, 37.5230499, 
37.5911028, 37.4293499, 37.1664982, 37.0935542, 37.317898, 37.3144221, 37.1646858, 37.1047019, 36.9243281, 37.1722583, 37.2327387, 37.1834308, 37.3794212, 37.3547424, 37.3234594, 37.4486411, 37.5386914, 37.238027, 37.2460712, 37.1128702, 36.9226895, 36.6359783, 36.3516507, 36.151514, 36.0363131, 35.9514269, 35.8579503, 35.6809283, 35.6184368, 35.428405, 35.2243704, 35.2954771, 35.4344133, 35.4369458, 35.6051539, 35.2579872, 35.0733678, 34.6197644, 34.5269333, 34.3047496, 34.3107082, 34.0617601, 33.5970338, 
33.5399548, 33.1298248, 32.6961084, 32.481075, 32.1977901, 32.0113335, 31.486524, 31.376239, 31.0351799, 30.8085519, 29.8584675, 29.3887011, 29.4870936, 29.407744, 29.5546003, 29.5874723, 29.5295739, 29.8495046, 29.9711359, 30.0631725, 30.2489587, 30.476406, 30.5768343, 30.9406109, 30.9766856, 31.18869, 31.3079875, 31.2138654, 31.211035, 31.3923026, 31.6237968, 31.6960208, 31.8044685, 31.755955, 31.834237, 31.5966352, 31.7017063, 31.9275894, 32.4644652, 32.6582957, 32.7679599, 33.0992121, 33.13844, 
33.3434181, 33.5389617, 33.6948304, 33.7576944, 33.925257, 34.0396882, 33.9430089, 33.9738698, 34.0621325, 34.3649321, 34.4505134, 34.6783579, 34.9494027, 35.1389876, 35.313949, 35.4386092, 35.7227383, 36.1291193, 36.3275429, 36.4835606, 36.5966263, 36.7525447, 36.8380019, 36.8871609, 36.9125101, 36.8382254, 37.0073274, 37.0308641, 37.2392684, 37.2845791, 37.2340794))"
Albania,ALB,60.694756,12978.101,2827562,Albania,Europe,Europe & Central Asia,Southern Europe,"list(c(20.078887, 19.8313133, 19.610163, 19.2895442, 19.4109575, 19.3684113, 19.5987427, 19.5600033, 19.4187053, 19.5203682, 19.3595886, 19.4570864, 19.4732988, 19.858722, 20.0173966, 20.0086635, 20.1908953, 20.4167033, 20.3122637, 20.6774439, 20.7075397, 20.8442248, 21.057269, 20.9806859, 20.7316791, 20.6697409, 20.5151864, 20.5942774, 20.5238748, 20.2572673, 20.078887, 42.5557889, 42.4663344, 42.5754525, 42.1874688, 42.1180504, 41.8903548, 41.8082742, 41.5778725, 41.3283037, 41.2507169, 40.694103, 
40.5616716, 40.2129159, 40.0400153, 39.8452662, 39.691483, 39.6448812, 39.8411696, 39.9905087, 40.0991054, 40.2684556, 40.4803855, 40.6676118, 40.8539442, 40.9116936, 41.0872756, 41.2324685, 41.8773203, 42.2115269, 42.3187085, 42.5557889))"
Algeria,DZA,71.448296,13506.444,45477339,Algeria,Africa,Middle East & North Africa,Northern Africa,"list(c(8.6419485, 8.4257246, 8.2408504, 7.8467389, 7.7701558, 7.5134907, 7.2563329, 7.1981566, 6.9281006, 6.8405004, 6.5842831, 6.4894724, 6.2673816, 6.2045924, 5.9616764, 5.7083253, 5.5187935, 5.2943291, 4.7894184, 3.7383945, 3.4988374, 3.1671567, 3.0069145, 2.6029949, 2.3058885, 2.0045723, 1.3967, 1.0640788, 0.8699789, 0.6585918, 0.3418246, 0.1348712, -0.0953705, -0.4729115, -0.6387071, -0.8049057, -1.0469708, -1.2118707, -1.2841095, -1.4642812, -1.7720913, -2.2116601, -2.2157355, -1.7395771, -1.8360449, 
-1.7834668, -1.6480805, -1.7306648, -1.5882024, -1.6702493, -1.4788813, -1.5444023, -1.3817417, -0.9969903, -1.2035854, -1.249983, -1.5972043, -1.9746109, -2.4477239, -2.5943961, -2.9075805, -2.8234735, -3.6666483, -3.6666483, -3.788375, -3.5374872, -3.6553176, -3.6455096, -4.3241428, -4.602305, -4.9391808, -5.2766388, -5.3314562, -5.5616531, -5.796463, -6.04753, -6.4624668, -6.7613646, -7.1476387, -7.3397233, -7.6191394, -8.1947663, -8.4481621, -8.6676106, -8.6676106, -8.6676106, -7.5008164, -6.3007467, 
-4.8341142, -4.0983348, -3.1738745, -1.8264608, -0.425439, 0.3501547, 1.1666822, 1.1782816, 1.5911135, 1.6682339, 1.7977981, 2.0022883, 2.2734639, 2.4016397, 2.5621506, 2.6977608, 3.258071, 3.2627735, 3.1789352, 3.1633947, 3.357629, 4.2666832, 5.8130336, 6.7169822, 7.4593899, 8.5755766, 9.7425051, 11.0671678, 11.9984803, 11.8145018, 11.6418989, 11.4215547, 10.9515767, 10.6124616, 10.3557964, 10.2232316, 10.0410894, 10.0283703, 9.3998519, 9.5044259, 9.8634704, 9.9304246, 9.8613655, 9.7817819, 9.9659395, 
9.8348078, 9.9043147, 9.7831254, 9.3914771, 9.5564217, 9.0754265, 8.3573373, 8.3232108, 8.1045684, 7.8103283, 7.7433742, 7.5246422, 7.5539319, 7.6542064, 7.8041479, 7.8554272, 8.1486373, 8.2742603, 8.3081629, 8.4538946, 8.3345415, 8.3559937, 8.2643628, 8.2648106, 8.4069595, 8.2091424, 8.5723072, 8.6419485, 36.9409627, 36.8955279, 36.948858, 36.8426447, 36.9594842, 37.0418131, 37.0235647, 36.9408138, 36.8810533, 36.9559587, 36.9750016, 37.0852121, 37.027562, 36.9065018, 36.8322667, 36.8201011, 36.6881663, 
36.6379397, 36.8909844, 36.8881789, 36.7698745, 36.7432095, 36.8171218, 36.6008222, 36.6371949, 36.5664606, 36.5366672, 36.4883772, 36.372357, 36.3301746, 36.1927777, 36.0420235, 35.7925788, 35.8845161, 35.7089837, 35.7717235, 35.6666275, 35.5249106, 35.3577948, 35.3072455, 35.119622, 35.0851362, 35.0467028, 34.7430095, 34.62905, 34.3908026, 34.1081881, 33.733959, 33.5307437, 33.2840053, 33.0803927, 32.9571972, 32.7398301, 32.5165539, 32.3950468, 32.0764319, 32.0941093, 32.158165, 32.1596298, 32.1118115, 
32.1181426, 31.7976905, 31.6333306, 31.3780514, 31.2367317, 31.0210777, 30.8458184, 30.6978945, 30.5305802, 30.2892542, 30.1398406, 29.9044733, 29.7697827, 29.4915626, 29.6171415, 29.565897, 29.5642087, 29.4628369, 29.5241615, 29.3955288, 29.3684913, 29.0032748, 28.8003822, 28.7141553, 27.6672674, 27.3158799, 26.6238056, 25.9002994, 25.000665, 24.5485761, 23.9707841, 23.1092355, 22.1891678, 21.6692742, 21.1138768, 20.7263153, 20.600364, 20.4064094, 20.2978872, 20.2424468, 20.2988555, 20.1174886, 
20.033099, 20.066393, 19.8166008, 19.4390448, 19.3662497, 19.1145458, 18.9681364, 19.1455556, 19.4432407, 20.2170728, 20.843403, 21.5214992, 22.2157583, 22.9855435, 23.5149958, 23.6142821, 23.8930235, 24.2006148, 24.5290614, 24.5718149, 24.5333318, 24.6456527, 24.9555281, 25.354138, 26.1954272, 26.3780851, 26.5162765, 26.8579315, 26.933408, 27.2704947, 27.8828718, 28.2862734, 28.7581998, 29.4270601, 30.168194, 30.2280289, 32.0864624, 32.5017317, 32.8231769, 33.049929, 33.2143882, 33.4251512, 33.7973195, 
34.0188081, 34.1979405, 34.2192675, 34.4056248, 34.5340092, 34.6455853, 34.9471434, 35.2197772, 35.2795625, 35.6698799, 35.7305094, 35.9380696, 36.422534, 36.4476348, 36.7732014, 36.9409627))"
American Samoa,ASM,94.9852,NA,48322,NA,NA,NA,NA,list()
Andorra,AND,95.00263,NA,79675,Andorra,Europe,Europe & Central Asia,Southern Europe,"list(c(1.7257832, 1.73792, 1.4385744, 1.5156501, 1.7257832, 42.5043954, 42.6113038, 42.6031603, 42.4287451, 42.5043954))"
Angola,AGO,66.44555,6118.905,35634984,Angola,Africa,Sub-Saharan Africa,Sub-Saharan Africa,"list(list(c(23.999894, 23.8628507, 23.4839661, 23.1513002, 22.707432, 22.5776887, 22.4382717, 22.2697442, 22.1687979, 22.328234, 22.3280996, 22.2156883, 22.1773967, 22.0684338, 21.8749609, 21.7915705, 21.8614357, 21.8342062, 21.9517231, 21.8724081, 21.7753134, 21.7753581, 21.8527025, 21.8232337, 21.7403807, 20.5530301, 20.627553, 20.3219822, 20.3029036, 19.547956, 19.494527, 19.5428057, 19.4059863, 19.341764, 19.3813543, 18.7964569, 18.7619274, 18.5306108, 18.3587244, 18.2047522, 18.1036267, 17.875669, 
17.5456901, 17.3026397, 16.9774081, 16.9115736, 16.7646327, 16.7137564, 16.6025991, 16.5852223, 16.4918895, 15.8144207, 15.6800645, 14.9446882, 14.5957651, 14.1808283, 13.7738633, 13.431882, 13.3840511, 13.3541345, 13.327532, 13.2252421, 13.136567, 12.9869837, 12.8015274, 12.6066661, 12.273597, 12.5773316, 12.8276373, 12.8520901, 13.0970215, 13.3952923, 13.3949788, 13.2237642, 12.995896, 13.153048, 13.1957733, 13.3142755, 13.5224828, 13.5310368, 13.7694743, 13.719673, 13.8653151, 13.7701461, 13.7995253, 
13.6562121, 13.3777812, 13.2026255, 12.9403621, 12.9804451, 12.5321432, 12.5134677, 12.4261361, 12.3325794, 12.3554647, 12.2735075, 12.0571492, 12.0190816, 11.8824413, 11.7351421, 11.8262804, 11.7507274, 12.0777504, 12.2354399, 12.6114133, 12.9834009, 13.3515369, 13.514735, 13.8688532, 13.9548859, 14.2161192, 15.5777746, 17.3974057, 18.4215135, 18.5646029, 18.9038523, 19.5703935, 19.7592088, 20.3242662, 20.5406693, 20.8012308, 21.2077479, 21.4234344, 22.214076, 23.4342096, 23.2215685, 22.9954917, 
22.7916286, 22.1352985, 22.1204297, 22.0002257, 22.0004496, 22.0002705, 22.0037189, 23.2291372, 24.058115, 23.8935287, 23.9465994, 24.065639, 23.9823829, 24.0121652, 23.9623191, 24.0874943, 24.0313334, 23.999894, -10.8899693, -11.0352863, -10.9384828, -11.0817391, -11.112749, -11.0281359, -11.1770033, -11.1880764, -10.8578422, -10.7603187, -10.3865365, -10.1600079, -9.9090984, -9.8739175, -9.6502192, -9.4187995, -9.1940585, -9.0581016, -8.5030767, -8.1975461, -8.0281959, -7.7745056, -7.6029457, -7.3309574, 
-7.2833378, -7.2833378, -6.9166564, -6.9166564, -7.0000032, -7.0000032, -7.3635315, -7.4486908, -7.6707504, -7.9017977, -7.9999915, -7.9999915, -7.9166447, -7.9166695, -8.0242979, -7.9798562, -8.0965964, -8.0812032, -8.1174269, -7.6369101, -7.2907365, -6.9132301, -6.7126217, -6.1298393, -6.0618361, -5.882654, -5.8435503, -5.8777878, -5.8618732, -5.8656718, -5.9047011, -5.8394785, -5.8693463, -5.8602842, -5.8768195, -5.9188033, -5.8993135, -5.8662925, -5.907308, -5.9040307, -6.0504898, -6.0527988, 
-6.1399194, -6.6843429, -6.9899231, -7.2637238, -7.8370716, -8.4010842, -8.7500634, -8.8018045, -9.0994399, -9.345359, -9.6880816, -9.9840287, -10.2711371, -10.3895407, -10.65994, -10.7557007, -11.0224752, -11.5827884, -11.7684753, -12.2341947, -12.5949423, -12.6122969, -12.835871, -12.9796487, -13.4268217, -13.8813935, -13.940707, -14.1921379, -14.4123603, -14.6980287, -15.2288465, -15.5688877, -15.7839459, -15.9021013, -16.4518627, -17.2518384, -17.14277, -17.2362714, -17.2094574, -16.9823081, 
-16.9743384, -17.137432, -17.3429812, -17.4328577, -17.391594, -17.3906257, -17.3897319, -17.3897319, -17.5825692, -17.8196248, -17.8729797, -17.9104696, -17.8621796, -17.9826192, -18.0370168, -17.9293636, -18.0267133, -17.8763066, -17.6378607, -17.532715, -17.2742082, -17.1199285, -16.4900975, -16.3481322, -16.2072843, -15.406663, -14.0040427, -12.9996847, -13.0002557, -13.0007771, -12.8405138, -12.5549944, -12.4244252, -12.1713805, -11.8107819, -11.6572966, -11.4033829, -11.2747254, -10.8899693
)), list(c(13.1027092, 12.875692, 12.7583095, 12.6377472, 12.4236729, 12.3125155, 12.0163049, 12.2342307, 12.1468543, 12.2023434, 12.528426, 12.5275303, 12.6049642, 12.8824546, 13.1027092, -4.6839939, -4.4449024, -4.4173436, -4.5633805, -4.6084181, -4.8034403, -5.0407193, -5.5254072, -5.6333087, -5.7734863, -5.7421288, -5.1734238, -5.0181757, -4.7419916, -4.6839939)))"
Anguilla,AIA,100,NA,14164,NA,NA,NA,NA,list()
Antigua and Barbuda,ATG,36.6352,NA,92804,Antigua & Barbuda,Americas,Latin America & Caribbean,Latin America and the Caribbean,"list(c(-61.8301257, -61.8904964, -61.690037, -61.8301257, 17.1746027, 17.0274485, 17.0312472, 17.1746027))"
Argentina,ARG,94.35072,18292.318,45407866,Argentina,Americas,Latin America & Caribbean,Latin America and the Caribbean,"list(list(c(-68.6069189, -68.2868376, -67.7033733, -67.5450121, -66.7700007, -66.5333546, -66.1267031, -65.9799861, -65.7017344, -65.4133164, -65.2325177, -65.2800351, -65.7567309, -66.1482897, -66.5533289, -66.7291564, -67.2550266, -67.9542612, -68.0857063, -68.4632921, -68.5374567, -68.2857627, -68.6067845, -68.6063814, -68.6069189, -54.8921357, -54.7988081, -54.8854819, -54.8629383, -54.9613059, -55.0546087, -54.991273, -54.887915, -54.9446217, -54.917907, -54.8141765, -54.6170936, -54.6362855, 
-54.5737692, -54.4296191, -54.2883242, -54.08712, -53.6258696, -53.3908002, -53.2970753, -53.1550605, -52.9509017, -52.6612112, -53.335608, -54.8921357)), list(c(-62.6389501, -62.8089108, -62.8133893, -63.9314121, -64.2439695, -64.2920242, -64.4341283, -64.4104368, -64.567768, -64.5331936, -64.9934085, -65.6589644, -65.8048304, -66.0763196, -66.2430108, -66.3478535, -66.7391883, -66.7824063, -67.0272033, -67.0139468, -67.1806829, -66.9904792, -67.3227422, -68.245635, -68.3913219, -68.567866, -68.402787, 
-68.5495488, -68.5890943, -68.4784743, -68.3810661, -68.5576549, -68.5857802, -68.2635492, -68.4897155, -68.7887028, -69.1201148, -69.2350342, -69.3366523, -69.4759349, -69.6724532, -69.7932395, -69.882452, -70.0196297, -69.879944, -69.9622596, -69.8115567, -69.903949, -70.1950093, -70.3233195, -70.2968961, -70.4972213, -70.5671761, -70.4609451, -70.2813108, -70.3236778, -70.1349969, -70.1471785, -69.98931, -70.0812544, -70.002656, -69.8012113, -69.8997392, -69.80148, -70.0310052, -70.0133597, -70.2168646, 
-70.2524242, -70.4793519, -70.3841829, -70.4205934, -70.6618524, -70.7116538, -70.8834954, -71.0381394, -71.1677483, -71.0928224, -71.2165196, -71.1196488, -71.1551636, -70.9969368, -70.9839042, -70.8450247, -70.9248323, -71.0947033, -71.4265632, -71.3993337, -71.5022953, -71.7173548, -71.689767, -71.830438, -71.693529, -71.843381, -71.8391263, -71.9649285, -71.8183907, -71.9113652, -71.8859271, -71.7921465, -71.7942066, -71.7268941, -71.9150824, -72.1714788, -72.110929, -72.1423235, -71.72985, -71.9319217, 
-71.6001962, -71.7591844, -71.6654485, -71.8277061, -71.7938035, -71.3645354, -71.0911653, -71.4679449, -72.068562, -71.5602028, -71.3246764, -71.5387506, -71.7943409, -71.6180656, -71.7680071, -71.7587813, -71.6477135, -71.9558371, -71.9978906, -72.2912798, -72.4993976, -72.2277741, -72.5049957, -72.5250596, -72.783561, -72.952178, -73.1452031, -73.4178567, -73.5476, -73.4456236, -73.559065, -73.5220723, -73.3613823, -73.3315552, -73.0934312, -72.7395369, -72.2866221, -72.2656178, -72.4105881, -72.2800387, 
-71.9517616, -71.9169634, -69.9954008, -69.4863251, -69.1906071, -68.4185515, -68.3571507, -68.6988185, -68.9621119, -69.1254891, -69.1687966, -69.0671785, -68.8630018, -68.1513617, -67.8487467, -67.7188243, -67.6596628, -67.5787803, -67.1000243, -66.7038527, -66.355467, -66.3354927, -65.9813297, -65.7716892, -65.7646131, -65.9804788, -66.2005095, -66.7954388, -67.1304784, -67.3879497, -67.5950822, -67.5942313, -67.3675724, -67.3496582, -67.0271585, -66.8505249, -66.5558817, -66.5171871, -66.1912837, 
-65.6421698, -65.7292775, -65.6658613, -65.3917746, -65.2234263, -65.2200226, -65.3491837, -65.0504651, -64.9796146, -64.462164, -64.6138522, -65.0229668, -64.9804655, -64.6913309, -64.3421391, -64.1446355, -63.6275432, -63.5859375, -63.617556, -63.741746, -64.0663058, -64.1205409, -64.6142104, -64.6437688, -64.9679703, -65.0792173, -64.9826152, -65.1700421, -65.1175536, -64.8521105, -64.7655403, -64.5430016, -63.7913234, -63.1096, -62.30924, -62.2475257, -62.4817086, -62.3433665, -62.315913, -62.1117364, 
-62.0425877, -62.1288444, -62.317167, -62.3583248, -62.2958939, -62.0530227, -61.6272031, -60.8463247, -59.1188173, -58.5238432, -58.092918, -57.5488201, -57.5225759, -57.1371079, -56.6933741, -56.674206, -56.7292472, -56.9946455, -57.1371079, -57.3604975, -57.3537797, -57.1192385, -57.3492564, -57.8271166, -58.1704416, -58.45877, -58.5496396, -58.3903827, -58.3543304, -58.5437727, -58.5375475, -58.4162686, -58.213973, -58.1128923, -58.2027766, -58.1041144, -58.2047024, -58.0872303, -57.9805962, 
-57.9814919, -57.8062466, -57.8046344, -57.8914285, -57.6437204, -57.6484677, -57.6129976, -57.6046675, -57.3457183, -57.3281177, -57.1215674, -56.7056453, -56.5905916, -56.4300807, -56.3947898, -55.8861172, -55.8771153, -55.6082237, -55.454565, -55.1965563, -54.9364427, -54.9045555, -54.6856444, -54.5673661, -54.2644824, -53.8163597, -53.6728672, -53.7419711, -53.6420101, -53.8360205, -53.8616377, -54.1909896, -54.4489087, -54.5937447, -54.5870717, -54.6688051, -54.6224074, -54.833481, -55.1321549, 
-55.1387831, -55.37422, -55.5524211, -55.5936237, -55.7393106, -55.8966418, -56.0874276, -56.2834533, -56.3590958, -56.566094, -56.7505203, -56.8768151, -57.1363018, -57.3193845, -57.6007712, -57.975625, -58.2757768, -58.6069649, -58.5078548, -58.2459945, -58.1619771, -58.0909922, -57.9479477, -57.7378145, -57.5597926, -57.7767778, -58.1364047, -58.3313107, -58.4436325, -58.673516, -59.3520149, -59.4737864, -60.0394261, -60.2800133, -60.4863844, -60.9922804, -61.1093046, -61.4941904, -61.8532798, 
-62.167315, -62.2374042, -62.6135568, -62.6389501, -22.2334073, -22.1427115, -21.99876, -21.9993311, -22.5663726, -22.812689, -22.6486519, -22.5418428, -22.3717725, -22.2859429, -22.0824296, -22.1117761, -22.0752792, -21.8349464, -21.7941295, -22.1281872, -22.2383977, -22.4380875, -22.5407752, -22.654685, -22.8138062, -22.9999897, -24.0341162, -24.3958321, -24.4924866, -24.7955592, -25.0323169, -25.2630662, -25.4481573, -25.7063662, -26.1778208, -26.2866161, -26.4936301, -26.9199975, -27.1336156, 
-27.104443, -27.8943883, -27.965793, -28.1642662, -28.2386999, -28.4576809, -29.1352805, -29.1430268, -29.3815721, -29.734772, -30.0689787, -30.1514814, -30.3419352, -30.4918702, -30.9308004, -31.0211983, -31.1221481, -31.5834729, -31.840788, -31.8835166, -32.2661374, -32.4915736, -32.7291754, -32.8985505, -33.029095, -33.3226586, -33.2873535, -33.7606454, -34.244067, -34.287739, -34.41302, -34.6118408, -34.7939277, -35.2043805, -35.605349, -36.1545891, -36.2414118, -36.4258574, -36.3962378, -36.4769033, 
-36.9971196, -37.1143316, -37.3037923, -37.4581218, -37.7577185, -38.2030047, -38.4302533, -38.5361189, -38.7642613, -38.7543302, -38.9212474, -39.3488313, -39.6363121, -39.6366845, -40.0363124, -40.2141041, -40.4054766, -40.4533942, -40.6094616, -40.7379205, -41.0616002, -41.3571004, -41.6044347, -41.7020327, -41.9615822, -42.1233848, -42.1887812, -42.1380829, -42.6016671, -42.9008914, -43.1984771, -43.3875655, -43.6963237, -43.8299716, -43.9020466, -44.2663446, -44.4146657, -44.389689, -44.5314556, 
-44.7383454, -44.8484318, -44.9772879, -45.306107, -45.4012718, -45.6649925, -45.9469615, -46.1155917, -46.3506115, -46.6888154, -46.8157847, -47.2965249, -47.5123527, -47.753629, -48.3191313, -48.5148486, -48.7908342, -48.9595885, -48.9516437, -49.181524, -49.3093126, -49.5044341, -49.7938018, -49.9476347, -50.14869, -50.3013808, -50.5705884, -50.7734313, -50.6268233, -50.6602911, -51.0347685, -51.1066945, -51.7049446, -51.8738231, -51.9997993, -52.0007427, -52.1516956, -52.1505039, -52.3833636, 
-52.3268059, -51.9995013, -51.6336641, -51.1486286, -50.7644933, -50.5519924, -50.3273755, -50.1149491, -49.9619603, -49.7678319, -49.2565784, -49.0494899, -48.6753105, -48.4507433, -48.3624061, -48.2774454, -48.050743, -47.5820194, -47.1982317, -47.0732735, -47.100733, -46.9998578, -46.7074114, -46.6032092, -46.3111601, -45.9903356, -45.7877906, -45.6306805, -45.3199112, -45.2357451, -45.220327, -45.0990433, -44.9857294, -45.044025, -44.8494497, -44.6928361, -44.5628627, -44.3628501, -44.1394995, 
-43.7245032, -43.4015435, -43.2557052, -43.0673865, -42.9249247, -42.7790864, -42.6540785, -42.5157382, -42.53493, -42.8774292, -42.76198, -42.6178051, -42.2902771, -42.0936163, -42.1774349, -42.4323913, -42.4219637, -42.2290767, -42.1357242, -41.9803024, -41.5428121, -41.0644554, -40.8378026, -40.7174128, -40.820746, -40.8682167, -41.1682107, -41.1599182, -40.8711712, -40.6028326, -40.3369768, -40.1961288, -39.8853347, -39.851122, -39.4736157, -39.2949054, -39.2748942, -39.1027632, -38.7953457, 
-38.932395, -39.0073749, -38.9873886, -38.7065616, -38.5490542, -38.3974061, -38.1048853, -37.8903237, -37.5057166, -36.9178445, -36.7294762, -36.338687, -36.3357077, -36.2632603, -36.0240695, -35.7416039, -35.4403188, -35.1461345, -34.8623779, -34.7499081, -34.5390706, -34.2915873, -34.2409387, -34.0466117, -33.7166505, -33.4845108, -33.069167, -33.0873658, -32.8851435, -32.4577582, -32.2451828, -31.8672792, -31.8239796, -31.5897544, -31.3912563, -30.891498, -30.7059601, -30.5126758, -30.3424069, 
-30.1938375, -30.1891699, -30.1802071, -30.0032595, -29.8802131, -29.7654343, -29.3614119, -29.1204087, -29.0796415, -28.9586309, -28.4804231, -28.3617215, -28.1161748, -28.099292, -27.8566253, -27.7726826, -27.6375698, -27.5747307, -27.4580402, -27.4013087, -27.1400957, -26.851299, -26.6477857, -26.2123066, -25.9719489, -25.6593424, -25.5342849, -25.6596155, -25.592357, -25.8301823, -25.98188, -26.2228832, -26.6731846, -26.8557928, -26.9516777, -26.9648364, -27.097963, -27.3372531, -27.4455022, 
-27.3426655, -27.3087011, -27.4079874, -27.5901736, -27.4503187, -27.5000736, -27.4190109, -27.4857976, -27.4138467, -27.3835817, -27.2671394, -27.2484193, -27.2988197, -26.9212637, -26.7502748, -26.2621359, -26.1157762, -26.0663689, -25.6475988, -25.455556, -25.1552889, -25.011685, -24.9994449, -24.8781116, -24.8314106, -24.4813389, -24.3342592, -24.0115229, -24.0437494, -23.9510673, -23.8084566, -23.5980908, -23.4215157, -23.0870607, -22.7469202, -22.5435063, -22.3038437, -22.2334073)), list(c(-59.3858279, 
-59.3950089, -59.8892606, -60.0933925, -60.396724, -60.2009223, -60.4591549, -60.5675356, -60.8383529, -61.0009239, -60.6508812, -60.3684197, -60.2908961, -59.9717106, -59.4399734, -59.2033721, -59.3858279, -51.3376177, -51.4363329, -51.401723, -51.5021017, -51.4829098, -51.7792045, -51.7891852, -51.9842322, -51.9562513, -52.0392009, -52.2591998, -52.1779137, -52.0133552, -52.0029276, -51.6355261, -51.4071603, -51.3376177)), list(c(-58.9656512, -58.9908206, -59.3024822, -59.5959162, -59.5941248, 
-59.1058743, -59.0991565, -58.6608417, -58.6383595, -58.3108438, -57.7616852, -57.9133733, -58.2733136, -58.6633497, -58.9656512, -51.2341355, -51.3950195, -51.763414, -51.980086, -52.2483253, -52.2358369, -52.0800178, -52.0575238, -51.9078868, -51.8808246, -51.6271095, -51.3737669, -51.389607, -51.3345887, -51.2341355)))"
Armenia,ARM,69.70461,13837.577,2880829,Armenia,Asia,Europe & Central Asia,Western Asia,"list(c(45.0150871, 44.4633757, 44.3871957, 43.4740661, 43.6714354, 43.7494515, 43.5907321, 43.6547304, 43.9100968, 44.2436137, 44.487515, 44.7671551, 45.0610817, 45.1690145, 45.4791982, 45.7976673, 45.7890685, 45.9898414, 46.1405891, 46.3408246, 46.5336258, 46.5358203, 46.4088985, 46.5694094, 46.1960334, 45.774558, 45.9805261, 45.9306799, 45.6495619, 45.437503, 45.3641893, 45.6069262, 45.4552828, 45.092745, 45.2048428, 45.0150871, 41.2970952, 41.1813729, 41.2213953, 41.1230276, 40.9370179, 40.6768725, 
40.3459183, 40.1140765, 40.0216179, 40.0491767, 39.9616836, 39.7147962, 39.7944437, 39.5913277, 39.502047, 39.571242, 39.3800185, 39.2004144, 38.844682, 38.9168564, 38.8674988, 39.1702238, 39.3613977, 39.5675675, 39.6022271, 39.9476063, 40.2111283, 40.296511, 40.3670219, 40.5197872, 40.6523675, 40.8495497, 40.9701134, 41.0536092, 41.140556, 41.2970952))"
